hashtag	count	last_usage
#btc	1	2021-07-19T21:29:07.000Z
#psg	1	2021-07-19T21:40:22.000Z
#seriea	1	2021-07-19T21:29:07.000Z
#formula1	1	2021-07-19T21:58:27.000Z
#skybet	1	2021-07-19T21:29:07.000Z
#vintage	1	2021-07-19T21:04:42.000Z
#afghanistan	1	2021-07-19T21:55:56.000Z
#turkish	1	2021-07-19T21:58:37.000Z
#afghantv	1	2021-07-19T21:55:56.000Z
#spainpoland	1	2021-07-19T21:03:02.000Z
#euro2016	1	2021-07-19T21:25:29.000Z
#databreach	1	2021-07-19T21:25:14.000Z
#dataleak	1	2021-07-19T21:25:14.000Z
#hackers	1	2021-07-19T21:25:14.000Z
#hacker	1	2021-07-19T21:25:14.000Z
#cybersecurity	1	2021-07-19T21:25:14.000Z
#cybercrime	1	2021-07-19T21:25:14.000Z
#madeinitaly	1	2021-07-19T21:25:14.000Z
#vaccinobligatoire	1	2021-07-19T21:21:37.000Z
#enuncevonnosta	1	2021-07-19T21:17:40.000Z
#60	1	2021-07-19T21:17:31.000Z
#eurocopa	1	2021-07-19T21:17:31.000Z
#training	1	2021-07-19T21:16:47.000Z
#defibrillator	1	2021-07-19T21:16:47.000Z
#christianeriksen	1	2021-07-19T21:16:47.000Z
#uif	1	2021-07-19T21:09:50.000Z
#pixarluca	1	2021-07-19T21:09:50.000Z
#deletetheapp	1	2021-07-19T21:06:21.000Z
#novaccinepassportsanywhere	1	2021-07-19T21:06:21.000Z
#braveheart	1	2021-07-19T21:06:17.000Z
#sandwichtins	1	2021-07-19T21:04:42.000Z
#ronaldo	1	2021-07-19T21:28:07.000Z
#sportpesa	1	2021-07-19T21:29:07.000Z
#bet9ja	1	2021-07-19T21:29:07.000Z
#antivaxx	1	2021-07-19T21:41:42.000Z
#sirlewis	1	2021-07-19T21:58:27.000Z
#forc	1	2021-07-19T21:54:11.000Z
#flagge	1	2021-07-19T21:50:48.000Z
#teamspirit	1	2021-07-19T21:48:15.000Z
#bangladesh	1	2021-07-19T21:47:22.000Z
#restorethewhip	1	2021-07-19T21:47:22.000Z
#kdb	1	2021-07-19T21:43:48.000Z
#antimask	1	2021-07-19T21:41:42.000Z
#antivaxxers	1	2021-07-19T21:41:42.000Z
#tancredi	1	2021-07-19T21:41:32.000Z
#earnmoney	1	2021-07-19T21:29:07.000Z
#eurocopa2021	1	2021-07-19T21:39:44.000Z
#porn	1	2021-07-19T21:39:44.000Z
#booty	1	2021-07-19T21:39:44.000Z
#gbv	1	2021-07-19T21:35:30.000Z
#12luglio	1	2021-07-19T21:34:28.000Z
#sanfederico	1	2021-07-19T21:34:28.000Z
#bernaweddingday	1	2021-07-19T21:34:28.000Z
#allegri	1	2021-07-19T21:34:28.000Z
#italiacampionedeuropaemozionifiera	1	2021-07-19T21:34:28.000Z
#lewandow	1	2021-07-19T21:03:02.000Z
#polen	1	2021-07-19T21:03:02.000Z
#afghaniptv	1	2021-07-19T21:55:56.000Z
#morata	1	2021-07-19T21:03:02.000Z
#czechrepublic	1	2021-07-19T21:59:08.000Z
#turkishgp	1	2021-07-19T21:58:37.000Z
#turkishiptv	1	2021-07-19T21:58:37.000Z
#turkishtv	1	2021-07-19T21:58:37.000Z
#turkeyiptv	1	2021-07-19T21:58:37.000Z
#turkeytv	1	2021-07-19T21:58:37.000Z
#turkey	1	2021-07-19T21:58:37.000Z
#chinaiptv	1	2021-07-19T21:57:55.000Z
#chinatv	1	2021-07-19T21:57:55.000Z
#china	1	2021-07-19T21:57:55.000Z
#koreaniptv	1	2021-07-19T21:57:19.000Z
#koreantv	1	2021-07-19T21:57:19.000Z
#korea	1	2021-07-19T21:57:19.000Z
#korean	1	2021-07-19T21:57:19.000Z
#urduiptv	1	2021-07-19T21:56:54.000Z
#urdutv	1	2021-07-19T21:56:54.000Z
#urdu	1	2021-07-19T21:56:54.000Z
#iraniptv	1	2021-07-19T21:56:23.000Z
#irantv	1	2021-07-19T21:56:23.000Z
#iranian	1	2021-07-19T21:56:23.000Z
#iran	1	2021-07-19T21:56:23.000Z
#czech	1	2021-07-19T21:59:08.000Z
#czechtv	1	2021-07-19T21:59:08.000Z
#czechiptv	1	2021-07-19T21:59:08.000Z
#nba	1	2021-07-19T21:42:32.000Z
#spapol	1	2021-07-19T21:03:02.000Z
#americ	1	2021-07-19T21:12:50.000Z
#cruzazul	1	2021-07-19T21:12:50.000Z
#ligamx	1	2021-07-19T21:12:50.000Z
#felizviernes	1	2021-07-19T21:12:50.000Z
#ultimora	1	2021-07-19T21:25:00.000Z
#spinazzola	1	2021-07-19T21:38:01.000Z
#bernardeschi	1	2021-07-19T21:34:28.000Z
#laliga	1	2021-07-19T21:29:07.000Z
#men	1	2021-07-19T21:42:32.000Z
#hungarian	1	2021-07-19T21:59:39.000Z
#fifa	1	2021-07-19T21:42:32.000Z
#ukfootball	1	2021-07-19T21:39:44.000Z
#englandfootball	1	2021-07-19T21:39:44.000Z
#belita	1	2021-07-19T21:15:11.000Z
#otd	1	2021-07-19T21:16:23.000Z
#hungarianiptv	1	2021-07-19T21:59:39.000Z
#hungariantv	1	2021-07-19T21:59:39.000Z
#hungaryiptv	1	2021-07-19T21:59:39.000Z
#hungarytv	1	2021-07-19T21:59:39.000Z
#engcro	1	2021-07-19T21:26:16.000Z
#miercoles	1	2021-07-19T21:58:57.000Z
#tokyo2020	1	2021-07-19T21:43:56.000Z
#threelions	1	2021-07-19T21:08:37.000Z
#italiacampionedeuropa	1	2021-07-19T21:17:40.000Z
#deltavariant	0	2021-07-19T15:16:11.000Z
#fifa20	0	2021-07-19T15:16:17.000Z
#frasui	0	2021-07-19T15:20:43.000Z
#em	0	2021-07-19T15:20:43.000Z
#europameisterschaft	0	2021-07-19T15:20:43.000Z
#speechtherapy	0	2021-07-19T15:20:37.000Z
#cosasdehombres	0	2021-07-19T15:14:35.000Z
#rdguk	0	2021-07-19T15:20:00.000Z
#woky	0	2021-07-19T15:20:00.000Z
#wokingham	0	2021-07-19T15:20:00.000Z
#lowerearley	0	2021-07-19T15:20:00.000Z
#hac2021	0	2021-07-19T15:37:31.000Z
#digitalselling	0	2021-07-19T15:19:02.000Z
#socialselling	0	2021-07-19T15:19:02.000Z
#advertising	0	2021-07-19T15:19:02.000Z
#frankreich	0	2021-07-19T15:20:43.000Z
#changemanagement	0	2021-07-19T15:19:02.000Z
#allezparis	0	2021-07-19T15:18:33.000Z
#earthday	0	2021-07-19T15:17:31.000Z
#sla	0	2021-07-19T15:17:30.000Z
#mnd	0	2021-07-19T15:17:30.000Z
#als	0	2021-07-19T15:17:30.000Z
#ela	0	2021-07-19T15:17:30.000Z
#gigio	0	2021-07-19T15:16:26.000Z
#architecture	0	2021-07-19T15:16:21.000Z
#schweiz	0	2021-07-19T15:20:43.000Z
#es	0	2021-07-19T06:27:22.000Z
#maddyfeed	0	2021-07-19T15:14:00.000Z
#petkovic	0	2021-07-19T15:20:43.000Z
#jungkook	0	2021-07-19T15:28:32.000Z
#lem	0	2021-07-19T15:28:32.000Z
#ftx	0	2021-07-19T15:28:32.000Z
#fintech	0	2021-07-19T15:28:32.000Z
#enj	0	2021-07-19T15:28:32.000Z
#investing	0	2021-07-19T15:28:32.000Z
#dogearmy	0	2021-07-19T15:28:32.000Z
#saynot	0	2021-07-19T15:25:10.000Z
#iltempoquotidian	0	2021-07-19T15:23:45.000Z
#3luglio	0	2021-07-19T15:23:45.000Z
#sabrinasalerno	0	2021-07-19T15:23:45.000Z
#twitterfriends	0	2021-07-19T19:37:08.000Z
#innovazione	0	2021-07-19T15:22:04.000Z
#revolut	0	2021-07-19T15:22:04.000Z
#softbank	0	2021-07-19T15:22:04.000Z
#startup	0	2021-07-19T15:22:04.000Z
#dati	0	2021-07-19T16:25:06.000Z
#leaksoftheweek	0	2021-07-19T16:25:06.000Z
#breaking	0	2021-07-19T15:21:03.000Z
#noicisiamo	0	2021-07-19T15:21:02.000Z
#sivainfinale	0	2021-07-19T15:21:02.000Z
#goodgame	0	2021-07-19T15:21:02.000Z
#yannsommer	0	2021-07-19T15:20:43.000Z
#xhaka	0	2021-07-19T15:20:43.000Z
#greatbritain	0	2021-07-19T15:10:47.000Z
#nufc	0	2021-07-19T15:08:27.000Z
#eurocup2020	0	2021-07-19T14:55:28.000Z
#pridemonth	0	2021-07-19T14:42:10.000Z
#eurosotm	0	2021-07-19T14:34:46.000Z
#sh	0	2021-07-19T14:34:18.000Z
#colosseo	0	2021-07-19T14:27:33.000Z
#iloveroma	0	2021-07-19T14:27:33.000Z
#m	0	2021-07-19T14:27:28.000Z
#cocacola	0	2021-07-19T20:26:00.000Z
#gifs	0	2021-07-19T18:44:42.000Z
#mintable	0	2021-07-19T18:44:42.000Z
#nftcollection	0	2021-07-19T18:44:42.000Z
#dfb	0	2021-07-19T14:26:15.000Z
#directv	0	2021-07-19T14:24:59.000Z
#18luglio	0	2021-07-19T14:22:23.000Z
#britishgrandprix	0	2021-07-19T14:21:59.000Z
#kralbet	0	2021-07-19T14:21:20.000Z
#beautifuleducationand	0	2021-07-19T14:20:43.000Z
#lukaku	0	2021-07-19T17:36:03.000Z
#italiabelgio	0	2021-07-19T17:23:48.000Z
#storia	0	2021-07-19T14:19:46.000Z
#wimbledon2021	0	2021-07-19T14:19:46.000Z
#berrettini	0	2021-07-19T14:19:46.000Z
#vaccinoanticovid	0	2021-07-19T14:19:46.000Z
#speranza	0	2021-07-19T14:19:46.000Z
#shibainu	0	2021-07-19T14:44:08.000Z
#indenmedien	0	2021-07-19T14:55:55.000Z
#lanaticonvoi	0	2021-07-19T15:05:07.000Z
#em2020	0	2021-07-19T14:55:55.000Z
#lanatiavecvous	0	2021-07-19T15:05:07.000Z
#homedcor	0	2021-07-19T15:04:42.000Z
#permissiontodancein1day	0	2021-07-19T15:04:32.000Z
#rap	0	2021-07-19T15:02:58.000Z
#winner	0	2021-07-19T15:02:58.000Z
#worldemojiday	0	2021-07-19T15:02:58.000Z
#dejavubytdb	0	2021-07-19T15:02:58.000Z
#cubana	0	2021-07-19T15:02:58.000Z
#cardib	0	2021-07-19T15:02:58.000Z
#chefchi	0	2021-07-19T16:37:26.000Z
#davido	0	2021-07-19T16:37:26.000Z
#eurotrophytour	0	2021-07-19T15:02:56.000Z
#youtubeshorts	0	2021-07-19T15:16:10.000Z
#shefromitalia	0	2021-07-19T19:29:07.000Z
#shorts	0	2021-07-19T19:29:07.000Z
#wm1966	0	2021-07-19T15:00:01.000Z
#netflix	0	2021-07-19T14:59:52.000Z
#tatuaggio	0	2021-07-19T19:24:14.000Z
#tippspiel	0	2021-07-19T14:58:55.000Z
#denmark	0	2021-07-19T16:40:42.000Z
#aleague	0	2021-07-19T14:58:51.000Z
#bundesliga	0	2021-07-19T14:58:51.000Z
#italiantv	0	2021-07-19T13:21:48.000Z
#cat	0	2021-07-19T17:23:46.000Z
#ada	0	2021-07-19T15:28:32.000Z
#governodraghi	0	2021-07-19T14:19:46.000Z
#cfc	0	2021-07-19T20:54:34.000Z
#antiracist	0	2021-07-19T16:10:16.000Z
#lovealwayswins	0	2021-07-19T16:10:16.000Z
#ally	0	2021-07-19T16:10:16.000Z
#antiracism	0	2021-07-19T16:10:16.000Z
#celebritygogglebox	0	2021-07-19T16:04:52.000Z
#gogglebox	0	2021-07-19T16:04:52.000Z
#cabinmusicbox	0	2021-07-19T16:04:41.000Z
#eurocup	0	2021-07-19T20:36:35.000Z
#wifebeating	0	2021-07-19T16:03:27.000Z
#maleviolence	0	2021-07-19T16:03:27.000Z
#2021	0	2021-07-19T16:02:56.000Z
#shade	0	2021-07-19T16:00:24.000Z
#icon	0	2021-07-19T15:28:32.000Z
#francetv	0	2021-07-19T13:21:28.000Z
#birianiulaya	0	2021-07-19T16:00:20.000Z
#stardom	0	2021-07-19T15:59:53.000Z
#brex	0	2021-07-19T17:02:02.000Z
#franceiptv	0	2021-07-19T13:21:28.000Z
#wearesoccer	0	2021-07-19T15:56:59.000Z
#engvitaly	0	2021-07-19T15:56:59.000Z
#sad	0	2021-07-19T15:57:46.000Z
#royals	0	2021-07-19T15:57:46.000Z
#canwegohome	0	2021-07-19T15:57:46.000Z
#unfortunate	0	2021-07-19T15:57:46.000Z
#liger	0	2021-07-19T19:46:07.000Z
#schlefaz	0	2021-07-19T16:07:00.000Z
#standuptoracism	0	2021-07-19T16:10:16.000Z
#apartheid	0	2021-07-19T19:37:39.000Z
#semifinali	0	2021-07-19T16:24:44.000Z
#pain	0	2021-07-19T16:24:07.000Z
#greenpass	0	2021-07-19T16:20:56.000Z
#macron	0	2021-07-19T16:20:56.000Z
#hogeeverywere	0	2021-07-19T16:20:48.000Z
#bullish	0	2021-07-19T16:20:48.000Z
#vaccinepassports	0	2021-07-19T16:19:02.000Z
#gbnews	0	2021-07-19T16:19:02.000Z
#c4news	0	2021-07-19T16:19:02.000Z
#skynews	0	2021-07-19T16:19:02.000Z
#bbcnews	0	2021-07-19T20:34:33.000Z
#downingstreetbriefing	0	2021-07-19T16:19:02.000Z
#silverstonegp	0	2021-07-19T16:19:02.000Z
#kadaikutty	0	2021-07-19T16:18:36.000Z
#ch	0	2021-07-19T19:18:17.000Z
#goviral	0	2021-07-19T16:11:07.000Z
#follo	0	2021-07-19T16:11:07.000Z
#frenchgp	0	2021-07-19T13:21:28.000Z
